('1', '9.22343511479641', 'The Shawshank Redemption', '1994', 'Frank Darabont (dir.), Tim Robbins, Morgan Freeman')
('2', '9.148046327139069', 'The Godfather', '1972', 'Francis Ford Coppola (dir.), Marlon Brando, Al Pacino')
('3', '8.98032999901213', 'The Godfather: Part II', '1974', 'Francis Ford Coppola (dir.), Al Pacino, Robert De Niro')
('4', '8.97447210281247', 'The Dark Knight', '2008', 'Christopher Nolan (dir.), Christian Bale, Heath Ledger')
('5', '8.933638609026339', '12 Angry Men', '1957', 'Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb')
('6', '8.909277879085385', "Schindler's List", '1993', 'Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes')
('7', '8.885927418891226', 'The Lord of the Rings: The Return of the King', '2003', 'Peter Jackson (dir.), Elijah Wood, Viggo Mortensen')
('8', '8.843231038667323', 'Pulp Fiction', '1994', 'Quentin Tarantino (dir.), John Travolta, Uma Thurman')
('9', '8.793427681578601', 'Il buono, il brutto, il cattivo', '1966', 'Sergio Leone (dir.), Clint Eastwood, Eli Wallach')
('1', '8.77714102293825', ' The Lord of the Rings: The Fellowship of the Ring', '2001', 'Peter Jackson (dir.), Elijah Wood, Ian McKellen')
('11', '8.7639389458447', 'Fight Club', '1999', 'David Fincher (dir.), Brad Pitt, Edward Norton')
('12', '8.753700784083149', 'Forrest Gump', '1994', 'Robert Zemeckis (dir.), Tom Hanks, Robin Wright')
('13', '8.720797331733731', 'Inception', '2010', 'Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt')
('14', '8.70057485127271', 'The Lord of the Rings: The Two Towers', '2002', 'Peter Jackson (dir.), Elijah Wood, Ian McKellen')
('15', '8.696133623505197', 'Star Wars: Episode V - The Empire Strikes Back', '1980', 'Irvin Kershner (dir.), Mark Hamill, Harrison Ford')
('16', '8.64877448126624', 'The Matrix', '1999', 'Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne')
('17', '8.64298094456243', 'Goodfellas', '1990', 'Martin Scorsese (dir.), Robert De Niro, Ray Liotta')
('18', '8.636292990356315', "One Flew Over the Cuckoo's Nest", '1975', 'Milos Forman (dir.), Jack Nicholson, Louise Fletcher')
('19', '8.602815890541372', 'Shichinin no samurai', '1954', 'Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura')
('20', '8.591513376973143', 'Se7en', '1995', 'David Fincher (dir.), Morgan Freeman, Brad Pitt')
('21', '8.583646725897124', 'La vita è bella', '1997', 'Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi')
('22', '8.579145610918435', 'Cidade de Deus', '2002', 'Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino')
('23', '8.575387522345801', 'The Silence of the Lambs', '1991', 'Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins')
('24', '8.574054358590855', "It's a Wonderful Life", '1946', 'Frank Capra (dir.), James Stewart, Donna Reed')
('25', '8.552520160865393', 'Star Wars', '1977', 'George Lucas (dir.), Mark Hamill, Harrison Ford')
('26', '8.550394336695739', 'Saving Private Ryan', '1998', 'Steven Spielberg (dir.), Tom Hanks, Matt Damon')
('27', '8.539909672972565', 'The Green Mile', '1999', 'Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan')
('28', '8.539153973129611', 'Sen to Chihiro no kamikakushi', '2001', 'Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette')
('29', '8.535496656007952', 'Interstellar', '2014', 'Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway')
('30', '8.527990938595025', 'Gisaengchung', '2019', 'Bong Joon Ho (dir.), Kang-ho Song, Lee Sun-kyun')
('31', '8.507862383665804', 'Léon', '1994', 'Luc Besson (dir.), Jean Reno, Gary Oldman')
('32', '8.494826258379303', 'Seppuku', '1962', 'Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama')
('33', '8.494489299841684', 'The Usual Suspects', '1995', 'Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne')
('34', '8.491759551012128', 'The Lion King', '1994', 'Roger Allers (dir.), Matthew Broderick, Jeremy Irons')
('35', '8.488127592693253', 'The Pianist', '2002', 'Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann')
('36', '8.486694734044224', 'Back to the Future', '1985', 'Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd')
('37', '8.486660854823038', 'Terminator 2: Judgment Day', '1991', 'James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton')
('38', '8.482224154191481', 'American History X', '1998', 'Tony Kaye (dir.), Edward Norton, Edward Furlong')
('39', '8.481774889713172', 'Modern Times', '1936', 'Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard')
('40', '8.476817321803061', 'Gladiator', '2000', 'Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix')
('41', '8.476807188798304', 'Psycho', '1960', 'Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh')
('42', '8.472349880184199', 'The Departed', '2006', 'Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon')
('43', '8.472281846280186', 'City Lights', '1931', 'Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill')
('44', '8.468903489558068', 'The Intouchables', '2011', 'Olivier Nakache (dir.), François Cluzet, Omar Sy')
('45', '8.468359073698613', 'Whiplash', '2014', 'Damien Chazelle (dir.), Miles Teller, J.K. Simmons')
('46', '8.460723381886849', 'Hotaru no haka', '1988', 'Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi')
('47', '8.45965984884343', 'The Prestige', '2006', 'Christopher Nolan (dir.), Christian Bale, Hugh Jackman')
('48', '8.445619716285451', 'Once Upon a Time in the West', '1968', 'Sergio Leone (dir.), Henry Fonda, Charles Bronson')
('49', '8.436723512333328', 'Casablanca', '1942', 'Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman')
('50', '8.432635257715289', 'Nuovo Cinema Paradiso', '1988', 'Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale')
('51', '8.427359318321956', 'Rear Window', '1954', 'Alfred Hitchcock (dir.), James Stewart, Grace Kelly')
('52', '8.420485004824046', 'Alien', '1979', 'Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt')
('53', '8.416889027602075', 'Apocalypse Now', '1979', 'Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando')
('54', '8.411862279514622', 'Memento', '2000', 'Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss')
('55', '8.409113420889373', 'The Great Dictator', '1940', 'Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard')
('56', '8.40575914753239', 'Raiders of the Lost Ark', '1981', 'Steven Spielberg (dir.), Harrison Ford, Karen Allen')
('57', '8.399027944744416', 'Hamilton', '2020', 'Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo')
('58', '8.392665672961375', 'Django Unchained', '2012', 'Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz')
